ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_sCH3,ES_Sum_ssCH2,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_Atoms,Num_Hydrogens,Num_RotatableBonds,Num_DoubleBonds,Num_AliphaticDoubleBonds,Molecular_FractionalPolarSurfaceArea,BIC,IAC_Mean,IC,JX
0,1.485,0.0,2.068,2.052,0.659,0,0,6,10,2,0,0,0.549,0.96972,1.29879,2.25162,2.53377
0,1.8,0.0,4.057,0.0,0.851,0,0,6,10,1,0,0,0.544,0.39548,1.29879,0.91829,2.87935
0,1.941,0.0,2.162,3.558,-0.294,0,0,5,10,2,0,0,0.345,0.76096,1.15893,1.52192,2.14272
0,0.562,9.812,3.432,0.666,-0.467,1,1,5,8,1,1,1,0.181,0.99999,1.2389,2.32192,2.75341
0,1.349,10.096,3.485,2.623,-1.248,2,2,8,12,4,1,1,0.189,0.91666,1.29546,2.75,2.66055
0,1.749,19.849,3.323,2.291,-1.538,3,3,11,13,6,2,2,0.34,0.86355,1.38243,3.09579,3.12203
0,0.97,0.0,2.051,2.381,-0.422,0,1,5,10,2,0,0,0.209,0.76096,1.15893,1.52192,2.13225
0,-0.324,0.0,2.171,3.652,-0.485,0,1,5,12,2,0,0,0.269,0.76096,1.08631,1.52192,2.15863
0,2.267,11.438,2.046,2.36,-2.648,2,3,14,15,5,4,1,0.252,0.81027,1.45601,3.37878,2.47712
0,2.971,0.0,7.794,0.0,-2.822,1,2,13,16,2,3,0,0.142,0.7328,1.26992,2.9312,3.1155
0,2.732,10.173,4.025,3.222,-2.247,1,1,9,14,4,2,2,0.11,0.95424,1.16256,3.16992,3.40156
0,2.472,10.695,4.05,4.096,-1.942,2,2,10,16,6,1,1,0.154,0.75917,1.2389,2.52192,2.90548
0,2.664,22.316,5.422,3.256,-2.597,4,4,15,20,9,2,2,0.217,0.81005,1.34378,3.24022,3.50723
0,3.764,10.746,2.129,3.089,-4.047,1,1,14,16,5,5,2,0.083,0.7827,1.17003,3.32486,2.66268
